Group,#,Component,Description,Size (S/M/L/XL),Suggested Owner,SRS Reference,Estimated Hours,Start Date,End Date,Schedule Notes,Budget Low (LKR),Budget High (LKR)
A. Foundational,1,Database design & data layer,"Schema + ORM/migrations for every record type (Learner, Module, Lecture, Quiz/Question, FillInTheBlankQuestion, Enrolment, QuizAttempt/BlankAttempt, Certificate, Material assets/groups, StaffMember, Law, Tool, DynamicOptionList/OptionValue, RegistrationApplication, LecturerProfile + sub-entries, Review, Announcement/MessageThread, AuditEntry, PlatformSettings) and the relationships between them.",XL,Developer 1 (start),SS 8,100,Sep 18,Oct 11,,"84,500","97,500"
A. Foundational,2,Authentication & authorization,"Learner and staff sign-in (with 2-step verification for staff), password rules (8/12 char minimums), session expiry (8h idle), and the full role/permission model for all seven roles enforced server-side.",L,Developer 1 (start),SS 10.3,55,Oct 12,Oct 25,,"46,500","53,700"
A. Foundational,3,File & media storage,"Real upload/storage/delivery for Materials Library assets, video hosting/streaming for lectures, and Law document files - all non-functional placeholders in the prototype.",M,Developer 2 (start),SS 9.2,28,Sep 18,Sep 24,,"23,700","27,300"
A. Foundational,4,Email / notification delivery,"Transactional email service: password resets, staff invitations, registration decision emails (approved/rejected), certificate-given notices, and any in-app notification delivery.",M,Developer 2 (start),SS 9.2,28,Sep 24,Sep 30,,"23,700","27,300"
A. Foundational,5,Audit log,"Append-only action log (who/what/when) that is genuinely immutable at the database level, not just hidden in the UI; 7-year retention.",S,Developer 2 (start),SS 4.22,12,Sep 30,Oct 03,,"10,100","11,700"
A. Foundational,6,Platform settings & configuration,"The single-record platform settings store (brand fields, registration toggle, chatbot knowledge-base paragraph, etc.) read across every console.",S,Developer 2 (start),SS 4.23,12,Oct 03,Oct 05,,"10,100","11,700"
B. Portals & Consoles,7,Public website & registration/application flow,"Marketing pages, and the province-based registration application -> provincial approval -> status/resubmit flow that replaced open self-signup. Landing-page redesign itself is client-deferred.",M,Developer 1,SS 4.1-4.2,28,Oct 25,Nov 01,,"23,700","27,300"
B. Portals & Consoles,8,Learner portal - core learning experience,"Dashboard, module catalogue/enrolment, lecture consumption, Quiz engine, Fill-in-the-blank engine, certificates (view + real PDF/design), profile & settings, module/lecturer reviews.",XL,Developer 1,SS 4.3-4.9 4.5a,100,Nov 01,Nov 26,,"84,500","97,500"
B. Portals & Consoles,9,"Learner portal - Laws, Tools & Assistant","The Laws tab and Tools tab (browse, province ordering), and the learner assistant/chatbot - a real build likely means a real LLM reading live catalogue data instead of keyword search.",M,Developer 1,SS 4.26-4.28,28,Nov 26,Dec 03,,"23,700","27,300"
B. Portals & Consoles,10,Lecturer console,"Lecturer dashboard, module/lecture management, lecture + quiz + fill-in-blank authoring (incl. a real rich-text/video tool), linking related Laws/Tools to a lecture, lecturer profile/credentials, learner progress visibility.",L,Developer 2,SS 4.9-4.14 4.10a,55,Oct 05,Oct 17,,"46,500","53,700"
B. Portals & Consoles,11,Super Administrator console,"Platform dashboard/analytics, module creation, lecturer account suspension, cross-province learner oversight, certificate oversight, console account management, audit log viewer, platform settings screen.",L,Developer 2,SS 4.15-4.23,55,Oct 18,Oct 30,,"46,500","53,700"
B. Portals & Consoles,12,Module Administrator console,"Own-module editing/tagging/publishing, own-module lecturer assignment, reviews and certificates scoped to that module.",M,Developer 2,SS 4.29,28,Oct 30,Nov 05,,"23,700","27,300"
